Sr.,Category,Quantity,Rate,Amount,% Amount
1,.Kalyani,1,687.82,687.82,0.02
3,Work--S,1,898.00,898.00,0.02
3,Work--S,1,921.42,921.42,0.02
3,Work--S,1,1181.00,1181.00,0.03
4,9 Yard Border.,1,473.00,473.00,0.01
4,9 Yard Border.,2,399.00,798.00,0.02
4,9 Yard Border.,2,389.00,778.00,0.02
5,9 Yard Border,6,278.27,1669.62,0.04
5,9 Yard Border,1,278.26,278.26,0.01
5,9 Yard Border,5,288.76,1443.80,0.03
5,9 Yard Border,6,288.77,1732.62,0.04
5,9 Yard Border,4,446.00,1784.00,0.04
5,9 Yard Border,2,336.00,672.00,0.02
7,..Paithani..,2,483.00,966.00,0.02
7,..Paithani..,1,1365.00,1365.00,0.03
7,..Paithani..,2,268.00,536.00,0.01
8,.Banarasi,1,1260.00,1260.00,0.03
8,.Banarasi,1,1669.51,1669.51,0.04
8,.Banarasi,1,221.00,221.00,0.00
9,.Digital..,1,473.00,473.00,0.01
11,.Paithani.,1,813.74,813.74,0.02
12,.Patola.,2,263.00,526.00,0.01
12,.Patola.,3,630.00,1890.00,0.04
Sr.,Category,Quantity,Rate,Amount,% Amount
14,10 War,1,973.00,973.00,0.02
14,10 War,1,972.58,972.58,0.02
14,10 War,1,923.00,923.00,0.02
14,10 War,2,673.32,1346.64,0.03
14,10 War,1,847.89,847.89,0.02
15,10 War Treditionl,1,1732.00,1732.00,0.04
15,10 War Treditionl,2,787.99,1575.98,0.04
16,10 War.,1,1097.25,1097.25,0.02
17,10 Yard,1,1838.00,1838.00,0.04
17,10 Yard,1,1123.53,1123.53,0.03
17,10 Yard,1,1124.00,1124.00,0.03
20,10 Yrd,1,588.00,588.00,0.01
20,10 Yrd,1,519.76,519.76,0.01
20,10 Yrd,1,1312.52,1312.52,0.03
20,10 Yrd,1,673.00,673.00,0.02
20,10 Yrd,1,822.94,822.94,0.02
21,10 Yrd Cotton Silk,1,952.09,952.09,0.02
21,10 Yrd Cotton Silk,1,788.00,788.00,0.02
26,9 Yard  Border,2,504.00,1008.00,0.02
27,9 Yard Border,1,473.00,473.00,0.01
28,9 Yard Cotton,2,306.60,613.20,0.01
29,9 Yard Printed,1,378.02,378.02,0.01
29,9 Yard Printed,5,284.00,1420.00,0.03
31,9 Yrd,1,427.43,427.43,0.01
34,Banarasi,1,1654.00,1654.00,0.04
34,Banarasi,1,1890.00,1890.00,0.04
34,Banarasi,1,661.50,661.50,0.01
34,Banarasi,1,1732.00,1732.00,0.04
34,Banarasi,1,1008.00,1008.00,0.02
34,Banarasi,5,220.50,1102.50,0.02
34,Banarasi,2,672.00,1344.00,0.03
34,Banarasi,1,1312.50,1312.50,0.03
34,Banarasi,1,805.60,805.60,0.02
36,Banarasi  Jal,1,787.51,787.51,0.02
37,Banarasi  Shalu,1,1653.75,1653.75,0.04
37,Banarasi  Shalu,1,1758.75,1758.75,0.04
38,Banarasi  Silk,1,698.25,698.25,0.02
39,Banarasi Buti,1,1338.74,1338.74,0.03
40,Banarasi Em,1,682.49,682.49,0.02
43,Banarasi Shalu,1,1838.00,1838.00,0.04
45,Banarasi Silk,1,840.00,840.00,0.02
45,Banarasi Silk,1,1548.73,1548.73,0.03
45,Banarasi Silk,1,1076.00,1076.00,0.02
45,Banarasi Silk,2,761.00,1522.00,0.03
45,Banarasi Silk,2,551.00,1102.00,0.02
45,Banarasi Silk,2,546.00,1092.00,0.02
45,Banarasi Silk,1,829.00,829.00,0.02
46,Banarasi Silk.,1,1706.25,1706.25,0.04
46,Banarasi Silk.,1,1207.49,1207.49,0.03
46,Banarasi Silk.,1,1128.74,1128.74,0.03
46,Banarasi Silk.,1,1102.49,1102.49,0.02
46,Banarasi Silk.,1,1076.24,1076.24,0.02
48,Bandhani,1,1055.00,1055.00,0.02
50,Batik,4,420.00,1680.00,0.04
57,Braidal Broket,1,1884.73,1884.73,0.04
58,Braso,1,498.76,498.76,0.01
58,Braso,1,1129.00,1129.00,0.03
59,Brasso,1,520.00,520.00,0.01
63,Broket,1,284.00,284.00,0.01
64,Broket    .,2,551.25,1102.50,0.02
67,Broket Silk.,3,399.00,1197.00,0.03
68,Catlog Saree,2,798.00,1596.00,0.04
72,Chandrakor Paithani,1,315.00,315.00,0.01
72,Chandrakor Paithani,1,640.52,640.52,0.01
73,Chandrakor Paithani 1,2,624.00,1248.00,0.03
73,Chandrakor Paithani 1,1,1296.77,1296.77,0.03
74,Chandrakor Paithani.,2,682.50,1365.00,0.03
78,Checks Cotton,2,334.17,668.34,0.02
79,Chiffon,3,242.00,726.00,0.02
79,Chiffon,6,315.00,1890.00,0.04
79,Chiffon,3,168.00,504.00,0.01
80,Chiffon Laheriya,1,551.29,551.29,0.01
81,Chiffon.,3,393.76,1181.28,0.03
81,Chiffon.,1,305.00,305.00,0.01
83,Corsa Crape Silk,7,192.15,1345.05,0.03
85,Cottan Silk,1,577.50,577.50,0.01
85,Cottan Silk,1,908.00,908.00,0.02
85,Cottan Silk,1,625.00,625.00,0.01
85,Cottan Silk,1,603.76,603.76,0.01
85,Cottan Silk,2,814.00,1628.00,0.04
86,Cotton,1,656.00,656.00,0.01
86,Cotton,3,441.02,1323.06,0.03
86,Cotton,2,666.68,1333.36,0.03
87,Cotton   Silk,5,336.00,1680.00,0.04
87,Cotton   Silk,1,367.50,367.50,0.01
87,Cotton   Silk,1,603.75,603.75,0.01
87,Cotton   Silk,1,582.75,582.75,0.01
87,Cotton   Silk,1,368.00,368.00,0.01
87,Cotton   Silk,1,367.51,367.51,0.01
89,Cotton  Prints,1,184.53,184.53,0.00
91,Cotton Butty,1,413.97,413.97,0.01
92,Cotton Em,1,369.09,369.09,0.01
93,Cotton Paithani,1,583.00,583.00,0.01
94,Cotton Prints,2,364.09,728.18,0.02
95,Cotton Saree,1,499.00,499.00,0.01
95,Cotton Saree,1,498.77,498.77,0.01
96,Cotton Saree .,1,893.00,893.00,0.02
96,Cotton Saree .,2,504.00,1008.00,0.02
96,Cotton Saree .,1,556.54,556.54,0.01
97,"Cotton Saree .,",1,520.00,520.00,0.01
98,"Cotton Saree,",2,347.00,694.00,0.02
98,"Cotton Saree,",1,357.00,357.00,0.01
99,"Cotton Saree,,",1,583.00,583.00,0.01
100,Cotton Saree..,1,588.00,588.00,0.01
100,Cotton Saree..,5,357.00,1785.00,0.04
101,Cotton Silk,2,524.00,1048.00,0.02
101,Cotton Silk,1,519.75,519.75,0.01
101,Cotton Silk,1,813.76,813.76,0.02
101,Cotton Silk,1,336.00,336.00,0.01
101,Cotton Silk,2,325.50,651.00,0.01
101,Cotton Silk,1,512.68,512.68,0.01
103,Cotton Silk1,2,551.25,1102.50,0.02
104,Crape,3,242.00,726.00,0.02
106,Designer,1,913.00,913.00,0.02
112,Dharma Silk,1,748.12,748.12,0.02
113,Dharma Varm,1,693.01,693.01,0.02
115,Digital,2,393.76,787.52,0.02
115,Digital,1,709.00,709.00,0.02
116,Digital  Fancy,1,577.50,577.50,0.01
119,Digital Fancy,1,431.00,431.00,0.01
119,Digital Fancy,2,430.50,861.00,0.02
120,Digital Print,1,708.76,708.76,0.02
120,Digital Print,1,472.50,472.50,0.01
120,Digital Print,2,347.00,694.00,0.02
124,Digital..,1,685.00,685.00,0.02
125,Dola  Silk,1,326.00,326.00,0.01
126,Dola Buti,2,829.50,1659.00,0.04
127,Dola Silk,1,735.00,735.00,0.02
131,Fanc Y,1,556.50,556.50,0.01
131,Fanc Y,2,603.75,1207.50,0.03
131,Fanc Y,2,703.50,1407.00,0.03
131,Fanc Y,2,635.25,1270.50,0.03
132,Fancy,1,1034.00,1034.00,0.02
132,Fancy,1,278.25,278.25,0.01
132,Fancy,4,231.00,924.00,0.02
132,Fancy,1,735.00,735.00,0.02
132,Fancy,4,367.50,1470.00,0.03
132,Fancy,2,761.25,1522.50,0.03
134,Fancy  Silk,2,341.00,682.00,0.02
137,Fancy Net,1,573.55,573.55,0.01
138,Fancy Pattu Saree,1,634.72,634.72,0.01
139,Fancy Saree,1,708.75,708.75,0.02
140,Fancy Saree.,1,247.00,247.00,0.01
140,Fancy Saree.,1,278.00,278.00,0.01
140,Fancy Saree.,1,404.00,404.00,0.01
141,Fancy Silk,1,252.00,252.00,0.01
141,Fancy Silk,1,273.01,273.01,0.01
141,Fancy Silk,1,965.00,965.00,0.02
142,Fancy Silk ..,1,1013.26,1013.26,0.02
142,Fancy Silk ..,1,819.00,819.00,0.02
144,Fancy.,2,630.00,1260.00,0.03
147,Ghadwal,2,714.00,1428.00,0.03
150,Ghadwal Em,3,324.19,972.57,0.02
150,Ghadwal Em,2,503.73,1007.46,0.02
152,Ghadwal.,1,732.38,732.38,0.02
154,Hand Work B/P,1,1496.25,1496.25,0.03
157,Induri Border,1,383.00,383.00,0.01
158,Ircal,1,735.00,735.00,0.02
159,Irkal,1,777.00,777.00,0.02
160,Jal,2,336.00,672.00,0.02
160,Jal,5,368.00,1840.00,0.04
161,Jal Work,2,787.50,1575.00,0.04
166,Jari,1,1102.52,1102.52,0.02
171,Kadiyal Silk,1,1260.00,1260.00,0.03
172,Kalmkari,6,274.00,1644.00,0.04
173,Kalyani,2,693.00,1386.00,0.03
174,Kanjivaram,1,1045.00,1045.00,0.02
174,Kanjivaram,1,1354.51,1354.51,0.03
174,Kanjivaram,2,919.00,1838.00,0.04
174,Kanjivaram,1,573.57,573.57,0.01
175,Kanjivarm,2,549.00,1098.00,0.02
175,Kanjivarm,2,673.30,1346.60,0.03
176,Kanjiwarm,1,862.00,862.00,0.02
176,Kanjiwarm,1,1392.00,1392.00,0.03
176,Kanjiwarm,2,504.00,1008.00,0.02
176,Kanjiwarm,1,656.27,656.27,0.01
176,Kanjiwarm,3,278.00,834.00,0.02
178,Kerla,1,629.98,629.98,0.01
179,Kerla Cotton,2,299.26,598.52,0.01
182,Kochampali Silk,1,599.00,599.00,0.01
186,Linan,1,378.00,378.00,0.01
186,Linan,2,368.00,736.00,0.02
188,Linan.,1,773.00,773.00,0.02
189,Linen,1,513.70,513.70,0.01
189,Linen,6,220.50,1323.00,0.03
190,Linen Cotten,1,378.00,378.00,0.01
196,Malai Silk,1,283.00,283.00,0.01
197,Mau  Silk,2,708.74,1417.48,0.03
197,Mau  Silk,2,940.00,1880.00,0.04
197,Mau  Silk,1,761.00,761.00,0.02
197,Mau  Silk,2,488.00,976.00,0.02
197,Mau  Silk,1,467.00,467.00,0.01
197,Mau  Silk,1,315.00,315.00,0.01
199,Mau Silk,1,624.76,624.76,0.01
199,Mau Silk,2,708.74,1417.48,0.03
199,Mau Silk,1,887.00,887.00,0.02
199,Mau Silk,2,898.00,1796.00,0.04
202,Maysure Silk,1,776.00,776.00,0.02
204,Moss Crape,6,215.25,1291.50,0.03
205,Mul Cottan,3,625.00,1875.00,0.04
207,Muniya Paithani,2,648.00,1296.00,0.03
207,Muniya Paithani,2,648.37,1296.74,0.03
208,Narayan Peth,1,540.75,540.75,0.01
208,Narayan Peth,1,688.00,688.00,0.02
208,Narayan Peth,1,368.00,368.00,0.01
211,Nath Paithani,2,514.50,1029.00,0.02
211,Nath Paithani,1,1044.76,1044.76,0.02
213,Nauvari Printed,1,550.19,550.19,0.01
213,Nauvari Printed,1,550.00,550.00,0.01
216,Navvari Printed,3,550.21,1650.63,0.04
