SHREERANG,"",Print Date:         06/12,_duplicated_0,_duplicated_1,_duplicated_2,_duplicated_3,_duplicated_4,_duplicated_5,_duplicated_6,_duplicated_7
Supplier List Details                                                                                                                                                                                                              Page 1 O,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sr.No.,Supplier Name,N/A,Total Bill Amt,Totalpaidamt,Dnote Outstanding,Amount,N/A,N/A,N/A,N/A
1,A.R.Silk,N/A,51300,N/A,N/A,51300,N/A,N/A,N/A,N/A
2,Ahsan Textiles,N/A,28350,N/A,N/A,28350,N/A,N/A,N/A,N/A
3,Arhams,N/A,13650,N/A,N/A,13650,N/A,N/A,N/A,N/A
5,Chandan Prints,N/A,24911,N/A,N/A,24911,N/A,N/A,N/A,N/A
7,Enespee Prints,N/A,162920,6583.0,N/A,156337,N/A,N/A,N/A,N/A
8,Enespee Saree,N/A,408772,39128.0,N/A,369644,N/A,N/A,N/A,N/A
9,Heeramani,N/A,35863,2589.0,N/A,33274,N/A,N/A,N/A,N/A
10,Jaaviya  Sarees Private Limited,N/A,17514,N/A,N/A,17514,N/A,N/A,N/A,N/A
11,Jinay Textiles,N/A,109857,18585.0,N/A,91272,N/A,N/A,N/A,N/A
12,Kavita Fashions,N/A,147116,N/A,N/A,147116,N/A,N/A,N/A,N/A
13,Khushboo Prints,N/A,94070,16317.0,N/A,77753,N/A,N/A,N/A,N/A
14,Manisha Textiles,N/A,62701,N/A,1496.0,61205,N/A,N/A,N/A,N/A
15,Mg Brothers,N/A,153248,N/A,N/A,153248,N/A,N/A,N/A,N/A
16,Mukesh Saree Centre,N/A,106313,11550.0,N/A,94763,N/A,N/A,N/A,N/A
17,Padmavati Creation,N/A,35369,9382.0,N/A,25987,N/A,N/A,N/A,N/A
18,Qasima  Creation,N/A,80325,N/A,N/A,80325,N/A,N/A,N/A,N/A
19,Ratnadeep Sarees,N/A,41428,4830.0,N/A,36598,N/A,N/A,N/A,N/A
21,Roop Shree Saree,N/A,125666,40929.0,N/A,84737,N/A,N/A,N/A,N/A
22,S A Textile,N/A,22050,N/A,N/A,22050,N/A,N/A,N/A,N/A
24,Shanti  Creation,N/A,12695,N/A,N/A,12695,N/A,N/A,N/A,N/A
25,Shree Chamunda Creation,N/A,96906,N/A,2830.0,94076,N/A,N/A,N/A,N/A
27,Silk Palace,N/A,33925,N/A,N/A,33925,N/A,N/A,N/A,N/A
28,Songara Designer,N/A,473288,N/A,N/A,473288,N/A,N/A,N/A,N/A
29,Suman Sarees,N/A,112638,N/A,13350.0,99288,N/A,N/A,N/A,N/A
31,Yash Creations,N/A,19058,N/A,N/A,19058,N/A,N/A,N/A,N/A
