Sr.No.,Supplier Name,Unnamed: 2,Total Bill Amt,TotalPaidAmt,DNote Outstanding,Amount
1,A.R.Silk,N/A,51300,0,0,51300
7,Enespee Prints,N/A,162920,6583,0,156337
8,Enespee Saree,N/A,408772,39128,0,369644
9,Heeramani,N/A,35863,2589,0,33274
11,Jinay Textiles,N/A,109857,18585,0,91272
13,Khushboo Prints,N/A,94070,16317,0,77753
16,Mukesh Saree Centre,N/A,106313,11550,0,94763
17,Padmavati Creation,N/A,35369,9382,0,25987
19,Ratnadeep Sarees,N/A,41428,4830,0,36598
21,Roop Shree Saree,N/A,125666,40929,0,84737
