Sr.,Category,Quantity,Rate,Amount,% Amount
1,.Kalyani,1,687.82,687.82,0.02
3,Work--S,1,2315.00,2315.00,0.05
3,Work--S,1,2074.00,2074.00,0.05
3,Work--S,1,898.00,898.00,0.02
3,Work--S,2,1224.00,2448.00,0.06
3,Work--S,3,1465.00,4395.00,0.10
3,Work--S,1,921.42,921.42,0.02
3,Work--S,3,1035.00,3105.00,0.07
3,Work--S,2,1276.00,2552.00,0.06
3,Work--S,1,1181.00,1181.00,0.03
3,Work--S,6,1040.00,6240.00,0.14
4,9 Yard Border.,1,473.00,473.00,0.01
4,9 Yard Border.,2,399.00,798.00,0.02
4,9 Yard Border.,2,389.00,778.00,0.02
5,9 Yard Border,37,231.00,8547.00,0.19
5,9 Yard Border,14,236.00,3304.00,0.07
5,9 Yard Border,9,278.00,2502.00,0.06
5,9 Yard Border,6,278.27,1669.62,0.04
5,9 Yard Border,1,278.26,278.26,0.01
5,9 Yard Border,5,288.76,1443.80,0.03
5,9 Yard Border,6,288.77,1732.62,0.04
5,9 Yard Border,4,446.00,1784.00,0.04
5,9 Yard Border,2,336.00,672.00,0.02
7,..Paithani..,29,425.00,12325.00,0.28
7,..Paithani..,2,483.00,966.00,0.02
7,..Paithani..,3,672.00,2016.00,0.05
7,..Paithani..,11,257.25,2829.75,0.06
7,..Paithani..,1,1365.00,1365.00,0.03
7,..Paithani..,62,378.00,23436.00,0.53
7,..Paithani..,3,1097.26,3291.78,0.07
7,..Paithani..,35,549.00,19215.00,0.43
7,..Paithani..,2,268.00,536.00,0.01
7,..Paithani..,5,1045.00,5225.00,0.12
8,.Banarasi,1,1260.00,1260.00,0.03
8,.Banarasi,2,1779.75,3559.50,0.08
8,.Banarasi,4,1260.00,5040.00,0.11
8,.Banarasi,3,1050.00,3150.00,0.07
8,.Banarasi,7,1102.50,7717.50,0.17
8,.Banarasi,8,814.00,6512.00,0.15
8,.Banarasi,1,1669.51,1669.51,0.04
8,.Banarasi,11,971.00,10681.00,0.24
8,.Banarasi,2,998.00,1996.00,0.05
8,.Banarasi,6,709.00,4254.00,0.10
8,.Banarasi,7,2048.00,14336.00,0.32
8,.Banarasi,4,1628.00,6512.00,0.15
8,.Banarasi,13,1523.00,19799.00,0.45
8,.Banarasi,1,221.00,221.00,0.00
9,.Digital..,5,835.00,4175.00,0.09
9,.Digital..,5,1181.00,5905.00,0.13
9,.Digital..,1,473.00,473.00,0.01
9,.Digital..,63,383.25,24144.75,0.55
9,.Digital..,12,383.00,4596.00,0.10
10,.Paithani,22,257.25,5659.50,0.13
10,.Paithani,5,1312.50,6562.50,0.15
10,.Paithani,6,1680.00,10080.00,0.23
11,.Paithani.,3,1354.51,4063.53,0.09
11,.Paithani.,1,813.74,813.74,0.02
12,.Patola.,3,2829.75,8489.25,0.19
12,.Patola.,8,745.50,5964.00,0.13
12,.Patola.,10,940.00,9400.00,0.21
12,.Patola.,2,263.00,526.00,0.01
12,.Patola.,3,630.00,1890.00,0.04
Sr.,Category,Quantity,Rate,Amount,% Amount
