Sr.,Category,Quantity,Rate,Amount,% Amount,Amount_Clean
283,Shalu,23,3649.0,83927.0,1.9,83927.0
221,Paithani,38,1732.51,65835.38,1.49,65835.38
199,Mau Silk,79,814.0,64306.0,1.45,64306.0
45,Banarasi Silk,27,1732.5,46777.5,1.06,46777.5
3,Work--S,36,1040.0,37440.0,0.85,37440.0
45,Banarasi Silk,18,2073.77,37327.86,0.84,37327.86
106,Designer,27,1155.0,31185.0,0.7,31185.0
311,Traditionl Designer,27,1144.51,30901.77,0.7,30901.77
32,Art Silk,136,221.0,30056.0,0.68,30056.0
221,Paithani,17,1733.0,29461.0,0.67,29461.0
293,Soft Silk,60,474.0,28440.0,0.64,28440.0
3,Work--S,27,1039.5,28066.5,0.63,28066.5
293,Soft Silk,23,1155.0,26565.0,0.6,26565.0
217,Navvari Silk,10,2625.0,26250.0,0.59,26250.0
103,Cotton Silk1,45,551.0,24795.0,0.56,24795.0
280,Shallu,20,1233.76,24675.2,0.56,24675.2
108,Designer Net,21,1155.0,24255.0,0.55,24255.0
9,.Digital..,63,383.25,24144.75,0.55,24144.75
283,Shalu,7,3438.78,24071.46,0.54,24071.46
199,Mau Silk,36,656.0,23616.0,0.53,23616.0
7,..Paithani..,62,378.0,23436.0,0.53,23436.0
132,Fancy,10,1339.0,13390.0,0.3,13390.0
87,Cotton   Silk,1,368.0,368.0,0.01,368.0
286,Silk,1,309.38,309.38,0.01,309.38
63,Broket,1,284.0,284.0,0.01,284.0
5,9 Yard Border,1,278.26,278.26,0.01,278.26
