Sr.No.,Supplier Name,Unnamed: 2,Total Bill Amt,TotalPaidAmt,DNote Outstanding,Amount
1,A.R.SILK,,51300,,,51300
2,AHSAN TEXTILES,,28350,,,28350
3,ARHAMS,,13650,,,13650
5,CHANDAN PRINTS,,24911,,,24911
7,ENESPEE PRINTS,,162920,6583,,156337
8,ENESPEE SAREE,,408772,39128,,369644
9,HEERAMANI,,35863,2589,,33274
10,JAAVIYA  SAREES PRIVATE LIMITED,,17514,,,17514
11,JINAY TEXTILES,,109857,18585,,91272
12,KAVITA FASHIONS,,147116,,,147116
13,KHUSHBOO PRINTS,,94070,16317,,77753
14,MANISHA TEXTILES,,62701,,1496,61205
15,MG BROTHERS,,153248,,,153248
16,MUKESH SAREE CENTRE,,106313,11550,,94763
17,PADMAVATI CREATION,,35369,9382,,25987
18,QASIMA  CREATION,,80325,,,80325
19,RATNADEEP SAREES,,41428,4830,,36598
21,ROOP SHREE SAREE,,125666,40929,,84737
22,S A TEXTILE,,22050,,,22050
24,SHANTI  CREATION,,12695,,,12695
25,SHREE CHAMUNDA CREATION,,96906,,2830,94076
27,SILK PALACE,,33925,,,33925
28,SONGARA DESIGNER,,473288,,,473288
29,SUMAN SAREES,,112638,,13350,99288
31,YASH CREATIONS,,19058,,,19058
,,,,,,2302364
