Sr.No.,Supplier Name,Unnamed: 2,Total Bill Amt,TotalPaidAmt,DNote Outstanding,Amount
1,A.R.SILK,,51300,,,51300
2,AHSAN TEXTILES,,28350,,,28350
4,C.CHHAGANLAL & CO,,10503,,,10503
5,CHANDAN PRINTS,,24911,,,24911
6,DATAR TRADING CO.,,28760,,6090.0,22670
7,ENESPEE PRINTS,,162920,6583.0,,156337
9,HEERAMANI,,35863,2589.0,,33274
11,JINAY TEXTILES,,109857,18585.0,,91272
12,KAVITA FASHIONS,,147116,,,147116
13,KHUSHBOO PRINTS,,94070,16317.0,,77753
14,MANISHA TEXTILES,,62701,,1496.0,61205
15,MG BROTHERS,,153248,,,153248
17,PADMAVATI CREATION,,35369,9382.0,,25987
18,QASIMA  CREATION,,80325,,,80325
19,RATNADEEP SAREES,,41428,4830.0,,36598
20,RITUAL SAREES,,8190,,,8190
21,ROOP SHREE SAREE,,125666,40929.0,,84737
22,S A TEXTILE,,22050,,,22050
23,SAI AASHA,,23714,,,23714
25,SHREE CHAMUNDA CREATION,,96906,,2830.0,94076
26,SIDDHARTH SAREES,,16538,3465.0,,13073
27,SILK PALACE,,33925,,,33925
30,VIJAYDEEP SILK MILLS,,21840,,,21840
