Sr.,Category,Quantity,Rate,Amount,% Amount,Amount_Clean
283,SHALU,23,3649.00,83927.00,1.90,83927.0
221,PAITHANI,38,1732.51,65835.38,1.49,65835.38
199,MAU SILK,79,814.00,64306.00,1.45,64306.0
45,BANARASI SILK,27,1732.50,46777.50,1.06,46777.5
3,WORK--S,36,1040.00,37440.00,0.85,37440.0
45,BANARASI SILK,18,2073.77,37327.86,0.84,37327.86
106,DESIGNER,27,1155.00,31185.00,0.70,31185.0
311,TRADITIONL DESIGNER,27,1144.51,30901.77,0.70,30901.77
32,ART SILK,136,221.00,30056.00,0.68,30056.0
221,PAITHANI,17,1733.00,29461.00,0.67,29461.0
293,SOFT SILK,60,474.00,28440.00,0.64,28440.0
3,WORK--S,27,1039.50,28066.50,0.63,28066.5
293,SOFT SILK,23,1155.00,26565.00,0.60,26565.0
217,NAVVARI SILK,10,2625.00,26250.00,0.59,26250.0
103,COTTON SILK1,45,551.00,24795.00,0.56,24795.0
280,SHALLU,20,1233.76,24675.20,0.56,24675.2
108,DESIGNER NET,21,1155.00,24255.00,0.55,24255.0
9,.DIGITAL..,63,383.25,24144.75,0.55,24144.75
283,SHALU,7,3438.78,24071.46,0.54,24071.46
199,MAU SILK,36,656.00,23616.00,0.53,23616.0
7,..PAITHANI..,62,378.00,23436.00,0.53,23436.0
132,FANCY,10,1339.00,13390.00,0.30,13390.0
87,COTTON   SILK,1,368.00,368.00,0.01,368.0
286,SILK,1,309.38,309.38,0.01,309.38
63,BROKET,1,284.00,284.00,0.01,284.0
5,9 YARD BORDER,1,278.26,278.26,0.01,278.26
